race_id,season,round,circuit_id,driver_id,grid,position
2021_1,2021,1,bahrain,hamilton,2,1
2021_1,2021,1,bahrain,max_verstappen,1,2
2021_1,2021,1,bahrain,bottas,3,3
2021_1,2021,1,bahrain,norris,7,4
2021_1,2021,1,bahrain,perez,0,5
2021_1,2021,1,bahrain,leclerc,4,6
2021_1,2021,1,bahrain,ricciardo,6,7
2021_1,2021,1,bahrain,sainz,8,8
2021_1,2021,1,bahrain,tsunoda,13,9
2021_1,2021,1,bahrain,stroll,10,10
2021_1,2021,1,bahrain,raikkonen,14,11
2021_1,2021,1,bahrain,giovinazzi,12,12
2021_1,2021,1,bahrain,ocon,16,13
2021_1,2021,1,bahrain,russell,15,14
2021_1,2021,1,bahrain,vettel,20,15
2021_1,2021,1,bahrain,mick_schumacher,18,16
2021_1,2021,1,bahrain,gasly,5,17
2021_1,2021,1,bahrain,latifi,17,18
2021_1,2021,1,bahrain,alonso,9,19
2021_1,2021,1,bahrain,mazepin,19,20
2021_2,2021,2,imola,max_verstappen,3,1
2021_2,2021,2,imola,hamilton,1,2
2021_2,2021,2,imola,norris,7,3
2021_2,2021,2,imola,leclerc,4,4
2021_2,2021,2,imola,sainz,11,5
2021_2,2021,2,imola,ricciardo,6,6
2021_2,2021,2,imola,gasly,5,7
2021_2,2021,2,imola,stroll,10,8
2021_2,2021,2,imola,ocon,9,9
2021_2,2021,2,imola,alonso,15,10
2021_2,2021,2,imola,perez,2,11
2021_2,2021,2,imola,tsunoda,20,12
2021_2,2021,2,imola,raikkonen,16,13
2021_2,2021,2,imola,giovinazzi,17,14
2021_2,2021,2,imola,vettel,0,15
2021_2,2021,2,imola,mick_schumacher,18,16
2021_2,2021,2,imola,mazepin,19,17
2021_2,2021,2,imola,bottas,8,18
2021_2,2021,2,imola,russell,12,19
2021_2,2021,2,imola,latifi,14,20
2021_3,2021,3,portimao,hamilton,2,1
2021_3,2021,3,portimao,max_verstappen,3,2
2021_3,2021,3,portimao,bottas,1,3
2021_3,2021,3,portimao,perez,4,4
2021_3,2021,3,portimao,norris,7,5
2021_3,2021,3,portimao,leclerc,8,6
2021_3,2021,3,portimao,ocon,6,7
2021_3,2021,3,portimao,alonso,13,8
2021_3,2021,3,portimao,ricciardo,16,9
2021_3,2021,3,portimao,gasly,9,10
2021_3,2021,3,portimao,sainz,5,11
2021_3,2021,3,portimao,giovinazzi,12,12
2021_3,2021,3,portimao,vettel,10,13
2021_3,2021,3,portimao,stroll,17,14
2021_3,2021,3,portimao,tsunoda,14,15
2021_3,2021,3,portimao,russell,11,16
2021_3,2021,3,portimao,mick_schumacher,19,17
2021_3,2021,3,portimao,latifi,18,18
2021_3,2021,3,portimao,mazepin,20,19
2021_3,2021,3,portimao,raikkonen,15,20
2021_4,2021,4,catalunya,hamilton,1,1
2021_4,2021,4,catalunya,max_verstappen,2,2
2021_4,2021,4,catalunya,bottas,3,3
2021_4,2021,4,catalunya,leclerc,4,4
2021_4,2021,4,catalunya,perez,8,5
2021_4,2021,4,catalunya,ricciardo,7,6
2021_4,2021,4,catalunya,sainz,6,7
2021_4,2021,4,catalunya,norris,9,8
2021_4,2021,4,catalunya,ocon,5,9
2021_4,2021,4,catalunya,gasly,12,10
2021_4,2021,4,catalunya,stroll,11,11
2021_4,2021,4,catalunya,raikkonen,17,12
2021_4,2021,4,catalunya,vettel,13,13
2021_4,2021,4,catalunya,russell,15,14
2021_4,2021,4,catalunya,giovinazzi,14,15
2021_4,2021,4,catalunya,latifi,19,16
2021_4,2021,4,catalunya,alonso,10,17
2021_4,2021,4,catalunya,mick_schumacher,18,18
2021_4,2021,4,catalunya,mazepin,20,19
2021_4,2021,4,catalunya,tsunoda,16,20
2021_5,2021,5,monaco,max_verstappen,2,1
2021_5,2021,5,monaco,sainz,4,2
2021_5,2021,5,monaco,norris,5,3
2021_5,2021,5,monaco,perez,9,4
2021_5,2021,5,monaco,vettel,8,5
2021_5,2021,5,monaco,gasly,6,6
2021_5,2021,5,monaco,hamilton,7,7
2021_5,2021,5,monaco,stroll,13,8
2021_5,2021,5,monaco,ocon,11,9
2021_5,2021,5,monaco,giovinazzi,10,10
2021_5,2021,5,monaco,raikkonen,14,11
2021_5,2021,5,monaco,ricciardo,12,12
2021_5,2021,5,monaco,alonso,17,13
2021_5,2021,5,monaco,russell,15,14
2021_5,2021,5,monaco,latifi,18,15
2021_5,2021,5,monaco,tsunoda,16,16
2021_5,2021,5,monaco,mazepin,19,17
2021_5,2021,5,monaco,mick_schumacher,20,18
2021_5,2021,5,monaco,bottas,3,19
2021_5,2021,5,monaco,leclerc,1,20
2022_1,2022,1,bahrain,leclerc,1,1
2022_1,2022,1,bahrain,sainz,3,2
2022_1,2022,1,bahrain,hamilton,5,3
2022_1,2022,1,bahrain,russell,9,4
2022_1,2022,1,bahrain,kevin_magnussen,7,5
2022_1,2022,1,bahrain,bottas,6,6
2022_1,2022,1,bahrain,ocon,11,7
2022_1,2022,1,bahrain,tsunoda,16,8
2022_1,2022,1,bahrain,alonso,8,9
2022_1,2022,1,bahrain,zhou,15,10
2022_1,2022,1,bahrain,mick_schumacher,12,11
2022_1,2022,1,bahrain,stroll,19,12
2022_1,2022,1,bahrain,albon,14,13
2022_1,2022,1,bahrain,ricciardo,18,14
2022_1,2022,1,bahrain,norris,13,15
2022_1,2022,1,bahrain,latifi,20,16
2022_1,2022,1,bahrain,hulkenberg,17,17
2022_1,2022,1,bahrain,perez,4,18
2022_1,2022,1,bahrain,max_verstappen,2,19
2022_1,2022,1,bahrain,gasly,10,20
2022_2,2022,2,jeddah,max_verstappen,4,1
2022_2,2022,2,jeddah,leclerc,2,2
2022_2,2022,2,jeddah,sainz,3,3
2022_2,2022,2,jeddah,perez,1,4
2022_2,2022,2,jeddah,russell,6,5
2022_2,2022,2,jeddah,ocon,5,6
2022_2,2022,2,jeddah,norris,11,7
2022_2,2022,2,jeddah,gasly,9,8
2022_2,2022,2,jeddah,kevin_magnussen,10,9
